"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"377","Share of family farms by NUTS 2 region","ef_lf_fam_sh","dataset","28.05.2024","28.05.2024","2020","2020",3824,5
"378","Soil cover by NUTS 2 region","ef_mp_soil","dataset","03.08.2020","10.01.2024","2010","2016",3238825,5
"379","Share of holdings by training of farm manager and NUTS 2 region","ef_mp_training_sh","dataset","27.05.2024","27.05.2024","2020","2020",2286,5
"380","Animal housing by type of bovine, utilised agricultural area, size classes of livestock units and NUTS 2 region","ef_ah_bovine","dataset","28.08.2024","28.08.2024","2010","2020",4106256,5
"381","Animal housing by type of pigs, utilised agricultural area, size classes of livestock units and NUTS 2 region","ef_ah_pigs","dataset","16.07.2024","16.07.2024","2010","2020",5342401,5
"382","Animal housing by type of poultry, utilised agricultural area, size classes of livestock units and NUTS 2 region","ef_ah_poultry","dataset","16.07.2024","16.07.2024","2010","2020",3088228,5
"383","Farm indicators by other gainful activities related to the holder, utilized agricultural area, type and economic size of the farm and NUTS 2 region","ef_oga_main","dataset","15.04.2024","25.04.2024","2010","2020",41478018,5
"384","Type of other gainful activities directly related to the agricultural holdings by age of the manager, utilised agricultural area, farm type and economic size by NUTS 2 region","ef_oga_type","dataset","31.08.2024","25.04.2024","2010","2020",15741556,5
"385","Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 region","ef_kvaareg","dataset","16.01.2017","10.01.2024","2005","2013",225387,6
"386","Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 region","ef_kvecsleg","dataset","16.01.2017","10.01.2024","2005","2013",291960,6
"387","Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 region","ef_kvftreg","dataset","16.01.2017","10.01.2024","2005","2013",215317,6
"388","Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 region","ef_oluaareg","dataset","16.01.2017","10.01.2024","2005","2013",1595010,6
"389","Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 region","ef_oluecsreg","dataset","16.01.2017","10.01.2024","2005","2013",1866130,6
"390","Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 region","ef_olsaareg","dataset","16.01.2017","10.01.2024","2005","2013",595241,6
"391","Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 region","ef_olslsureg","dataset","16.01.2017","10.01.2024","2005","2013",589665,6
"392","Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 region","ef_olsecsreg","dataset","16.01.2017","10.01.2024","2005","2013",695956,6
"393","Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 region","ef_olfreg","dataset","16.01.2017","10.01.2024","2005","2013",38800,6
"394","Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 region","ef_popermreg","dataset","16.01.2017","10.01.2024","2005","2013",427965,6
"395","Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 region","ef_poirrig","dataset","19.04.2018","10.01.2024","2005","2013",210039,6
"396","Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 region","ef_mporganic","dataset","16.01.2017","10.01.2024","2003","2013",320160,6
"397","Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 region","ef_mptenure","dataset","16.01.2017","10.01.2024","2005","2013",92614,6
"398","Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 region","ef_mptenurecs","dataset","16.01.2017","10.01.2024","2005","2013",109368,6
"399","Key variables by legal status of holding, size of farm (UAA) and NUTS 2 region","ef_ov_kvaa","dataset","27.03.2009","21.12.2023","1990","2007",250844,7
"400","Key variables by type of farming (2-digit) and NUTS 2 region","ef_ov_kvftreg","dataset","27.03.2009","21.12.2023","2000","2007",133474,7
"401","Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 region","ef_lu_ovcropaa","dataset","27.03.2009","21.12.2023","1990","2007",1969784,7
"402","Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 region","ef_lu_ovcropesu","dataset","27.03.2009","21.12.2023","1990","2007",1959788,7
"403","Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 region","ef_lu_pcreg","dataset","27.03.2009","21.12.2023","1990","2007",492194,7
"404","Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 region","ef_lu_ofirrig","dataset","27.03.2009","21.12.2023","1990","2007",21949,7
"405","Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 region","ef_ls_ovaareg","dataset","27.03.2009","21.12.2023","1990","2007",761128,7
"406","Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 region","ef_ls_ovlsureg","dataset","27.03.2009","21.12.2023","1990","2007",759761,7
"407","Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 region","ef_ls_ovesu","dataset","27.03.2009","21.12.2023","1990","2007",757142,7
"408","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 region","ef_so_lfaa","dataset","14.04.2009","21.12.2023","1990","2007",1714420,7
"409","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 region","ef_so_lfesu","dataset","14.04.2009","21.12.2023","1990","2007",1676077,7
"410","Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 region","ef_so_mptenure","dataset","27.03.2009","21.12.2023","1990","2007",111860,7
"411","Organic farming: selected variables by size of farm (UAA) and NUTS 2 region","ef_so_mporg","dataset","17.04.2009","21.12.2023","2000","2007",98860,7
"412","Economic accounts for agriculture by NUTS 2 region","agr_r_accts","dataset","22.02.2024","02.07.2024","1980","2022",4232840,5
"413","Economic accounts for agriculture by NUTS 2 region (until 2012)","agr_r_accts_h","dataset","07.03.2016","02.07.2024","1973","2012",2320007,5
"414","Crop production in EU standard humidity by NUTS 2 region","apro_cpshr","dataset","25.10.2024","01.07.2024","2000","2024",1494681,7
"415","Crop production in national humidity by NUTS 2 region","apro_cpnhr","dataset","25.10.2024","01.07.2024","2000","2024",890728,7
"416","Crop production by NUTS 2 region - historical data (1975-1999)","apro_cpnhr_h","dataset","01.08.2023","10.01.2024","1975","1999",898118,7
"417","Production of cow's milk on farms by NUTS 2 region","agr_r_milkpr","dataset","07.10.2024","07.10.2024","1995","2023",11226,6
"418","Animal populations by NUTS 2 region","agr_r_animal","dataset","17.10.2024","09.09.2024","1977","2024",422132,7
"419","Area under wine-grape vine varieties broken down by vine variety, age of the vines and NUTS 2 region - Romania","vit_bs4_ro","dataset","28.03.2012","21.12.2023","2009","2009",2754,7
"420","Share of main land types in utilised agricultural area (UAA) by NUTS 2 region","aei_ef_lu","dataset","14.11.2018","10.01.2024","2005","2016",5587,5
"421","Share of irrigable and irrigated areas in utilised agricultural area (UAA) by NUTS 2 region","aei_ef_ir","dataset","11.03.2019","10.01.2024","2005","2016",2832,5
"422","Share of main livestock types in total livestock units (LSU) by NUTS 2 region","aei_ef_ls","dataset","05.02.2019","10.01.2024","2005","2016",8782,5
"423","Air transport of passengers by NUTS 2 region","tran_r_avpa_nm","dataset","05.05.2024","29.08.2024","1993","2022",22730,4
"424","Air transport of freight by NUTS 2 region","tran_r_avgo_nm","dataset","05.05.2024","29.08.2024","1993","2022",21322,4
"425","Maritime transport of passengers by NUTS 2 region","tran_r_mapa_nm","dataset","05.05.2024","29.08.2024","1997","2022",14817,4
"426","Maritime transport of freight by NUTS 2 region","tran_r_mago_nm","dataset","05.05.2024","29.08.2024","1997","2022",15291,4
"427","Railway transport - national and international railway passengers transport by loading/unloading NUTS 2 region","tran_r_rapa","dataset","09.06.2022","10.01.2024","2005","2020",72300,4
"428","Railway transport - national and international railway goods transport by loading/unloading NUTS 2 region","tran_r_rago","dataset","04.07.2024","07.06.2024","2005","2020",78725,4
"429","Stock of vehicles by category and NUTS 2 region","tran_r_vehst","dataset","01.10.2024","28.08.2024","1990","2022",130035,4
"430","Maritime transport of passengers by NUTS 2 region (questionnaire)","tran_r_mapa_om","dataset","27.03.2009","29.08.2024","1978","2002",7266,4
"431","Maritime transport of freight by NUTS 2 region (questionnaire)","tran_r_mago_om","dataset","27.03.2009","29.08.2024","1978","2002",11443,4
"432","Air transport of passengers by NUTS 2 region (questionnaire)","tran_r_avpa_om","dataset","27.03.2009","14.10.2024","1978","2002",13811,4
"433","Air transport of freight by NUTS 2 region (questionnaire)","tran_r_avgo_om","dataset","27.03.2009","29.08.2024","1978","2002",10487,4
"434","Road, rail and navigable inland waterways networks by NUTS 2 region","tran_r_net","dataset","20.06.2024","28.08.2024","1990","2022",93318,3
"435","Stock of vehicles by category and NUTS 2 region","tran_r_vehst","dataset","01.10.2024","28.08.2024","1990","2022",130035,3
"436","Stock of electric vehicles by category and NUTS 2 region","tran_r_elvehst","dataset","06.05.2024","06.05.2024","2018","2022",9212,3
"437","Victims in road accidents by NUTS 2 region","tran_r_acci","dataset","05.05.2024","05.05.2024","1990","2022",52849,3
"438","Maritime transport of passengers by NUTS 2 region","tran_r_mapa_nm","dataset","05.05.2024","29.08.2024","1997","2022",14817,3
"439","Maritime transport of freight by NUTS 2 region","tran_r_mago_nm","dataset","05.05.2024","29.08.2024","1997","2022",15291,3
"440","Air transport of passengers by NUTS 2 region","tran_r_avpa_nm","dataset","05.05.2024","29.08.2024","1993","2022",22730,3
"441","Air transport of freight by NUTS 2 region","tran_r_avgo_nm","dataset","05.05.2024","29.08.2024","1993","2022",21322,3
"442","Railway transport - national and international railway goods transport by loading/unloading NUTS 2 region","tran_r_rago","dataset","04.07.2024","07.06.2024","2005","2020",78725,3
"443","Railway transport - national and international railway passengers transport by loading/unloading NUTS 2 region","tran_r_rapa","dataset","09.06.2022","10.01.2024","2005","2020",72300,3
"444","Number and capacity of recovery and disposal facilities by NUTS 2 region","env_wasfac","dataset","14.09.2022","10.01.2024","2004","2020",37609,5
"445","GERD by sector of performance and NUTS 2 region","rd_e_gerdreg","dataset","30.09.2024","30.09.2024","1980","2022",282069,5
"446","R&D personnel and researchers by sector of performance, sex and NUTS 2 region","rd_p_persreg","dataset","25.09.2024","24.09.2024","1980","2022",572111,5
"447","Employment in technology and knowledge-intensive sectors by NUTS 2 region and sex (from 2008 onwards, NACE Rev. 2)","htec_emp_reg2","dataset","12.09.2024","24.04.2024","2008","2023",1400448,6
"448","Employment in technology and knowledge-intensive sectors by NUTS 2 region and sex (1994-2008, NACE Rev. 1.1)","htec_emp_reg","dataset","15.02.2023","10.01.2024","1999","2008",654416,6
"449","HRST by category and NUTS 2 region","hrst_st_rcat","dataset","12.09.2024","24.04.2024","1999","2023",167568,6
"450","Use of computers and the internet by employees, by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_cm_pn2","dataset","24.09.2024","24.09.2024","2023","2023",1621,5
"451","Internet access by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_in_en2","dataset","24.09.2024","24.09.2024","2023","2023",6653,5
"452","Type of connections to the internet by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_it_en2","dataset","24.09.2024","24.09.2024","2023","2023",37332,5
"453","Cloud computing services by NACE Rev.2 activity and NUTS 2 region","isoc_r_cicce_usen2","dataset","24.09.2024","24.09.2024","2023","2023",6392,5
"454","Artificial intelligence by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_ain2","dataset","24.09.2024","24.09.2024","2023","2023",35354,5
"455","Integration with customers/suppliers, supply chain management by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_icsn2","dataset","24.09.2024","24.09.2024","2023","2023",9834,5
"456","Integration of internal processes by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_iipn2","dataset","24.09.2024","24.09.2024","2023","2023",11748,5
"457","E-commerce sales of enterprises by NACE Rev.2 activity and NUTS 2 region","isoc_r_ec_eseln2","dataset","24.09.2024","24.09.2024","2023","2023",3226,5
"458","Value of e-commerce sales by NACE Rev.2 activity and NUTS 2 region","isoc_r_ec_evaln2","dataset","24.09.2024","24.09.2024","2023","2023",1585,5
"459","Data analytics by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_dan2","dataset","24.09.2024","24.09.2024","2023","2023",2974,5
"460","Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - % of online job advertisements - experimental statistics","isoc_sk_oja1","dataset","21.08.2024","21.08.2024","2019-Q4","2024-Q1",5549,5
"461","Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region – percentage change Q/Q-4 – experimental statistics","isoc_sk_oja3","dataset","21.08.2024","21.08.2024","2020-Q1","2024-Q1",5106,5
"462","Population by educational attainment level, sex, age, country of birth and NUTS 2 region (%)","edat_lfs_9917","dataset","12.09.2024","24.04.2024","2004","2023",1156358,6
"463","Population by educational attainment level, sex, age, citizenship and NUTS 2 region (%)","edat_lfs_9918","dataset","12.09.2024","24.04.2024","2004","2023",1200530,6
"464","Young people neither in employment nor in education and training by sex, age, country of birth and NUTS 2 region (NEET rates)","edat_lfse_37","dataset","12.09.2024","24.04.2024","2004","2023",520910,6
"465","Young people neither in employment nor in education and training by sex, age, citizenship and NUTS 2 region (NEET rates)","edat_lfse_38","dataset","12.09.2024","24.04.2024","2004","2023",526863,6
"466","Population by sex, age, citizenship, labour status and NUTS 2 region","lfst_r_lfsd2pwn","dataset","12.09.2024","24.04.2024","1999","2023",4890896,6
"467","Population by sex, age, country of birth, labour status and NUTS 2 region","lfst_r_lfsd2pwc","dataset","12.09.2024","24.04.2024","1999","2023",4732810,6
"468","Activity rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfp2actrtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,6
"469","Activity rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfp2actrc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,6
"470","Unemployment by sex, age, country of birth and NUTS 2 region","lfst_r_lfu2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,6
"471","Unemployment by sex, age, citizenship and NUTS 2 region","lfst_r_lfu2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,6
"472","Unemployment rates by sex, age, country of birth and NUTS 2 region","lfst_r_lfur2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,6
"473","Unemployment rates by sex, age, citizenship and NUTS 2 region","lfst_r_lfur2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,6
"474","Employment rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfe2emprtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,6
"475","Employment rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfe2emprc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,6
"476","Farm indicators by age and sex of the manager, economic size of the farm, utilised agricultural area and NUTS 2 region","ef_m_farmang","dataset","26.03.2024","10.01.2024","2010","2020",9550078,5
"477","Animal populations by NUTS 2 region","agr_r_animal","dataset","17.10.2024","09.09.2024","1977","2024",422132,5
"478","Land use overview by NUTS 2 region","lan_use_ovw","dataset","14.07.2021","10.01.2024","2009","2018",68238,5
"479","Land cover overview by NUTS 2 region","lan_lcv_ovw","dataset","18.07.2022","10.01.2024","2009","2018",146448,5
"480","Land cover for FAO Forest categories by NUTS 2 region","lan_lcv_fao","dataset","18.05.2021","10.01.2024","2009","2018",16342,5
"481","Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 region","ef_oluaareg","dataset","16.01.2017","10.01.2024","2005","2013",1595010,5
"482","Population by educational attainment level, sex and NUTS 2 region (%)","edat_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",612157,6
"483","Early leavers from education and training by sex and NUTS 2 region","edat_lfse_16","dataset","12.09.2024","24.04.2024","2000","2023",32169,6
"484","HRST by category and NUTS 2 region","hrst_st_rcat","dataset","12.09.2024","24.04.2024","1999","2023",167568,5
"485","Youth employment rate by sex, age and NUTS 2 region","yth_empl_030","dataset","12.09.2024","24.04.2024","1999","2023",202086,6
"486","Young people neither in employment nor in education and training by sex and NUTS 2 region (NEET rates)","edat_lfse_22","dataset","12.09.2024","24.04.2024","2000","2023",128547,6
"487","Employment rates of young people not in education and training by sex, educational attainment level, years since completion of highest level of education and NUTS 2 region","edat_lfse_33","dataset","12.09.2024","24.04.2024","2000","2023",3852642,6
"488","R&D personnel and researchers by sector of performance, sex and NUTS 2 region","rd_p_persreg","dataset","25.09.2024","24.09.2024","1980","2022",572111,5
"489","Employment in technology and knowledge-intensive sectors by NUTS 2 region and sex (from 2008 onwards, NACE Rev. 2)","htec_emp_reg2","dataset","12.09.2024","24.04.2024","2008","2023",1400448,5
"490","Participation rate in education and training (last 4 weeks) by NUTS 2 region","trng_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",31961,6
"491","Distribution of pupils and students enrolled in general and vocational programmes by education level and NUTS 2 region","educ_uoe_enra13","dataset","26.07.2024","23.05.2024","2013","2022",32767,6
"492","Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region","educ_uoe_enrt05","dataset","26.07.2024","23.05.2024","2013","2022",3864,6
"493","Students enrolled in tertiary education by education level, programme orientation, sex and NUTS 2 region","educ_uoe_enrt06","dataset","26.07.2024","23.05.2024","2013","2022",93176,6
"494","Population structure indicators by NUTS 2 region","demo_r_pjanind2","dataset","05.11.2024","12.02.2024","1990","2023",690593,4
"495","Pupils enrolled in early childhood education by sex and NUTS 2 region","educ_uoe_enrp03","dataset","26.07.2024","23.05.2024","2013","2022",34740,5
"496","Pupils enrolled in primary education by sex and NUTS 2 region","educ_uoe_enrp06","dataset","26.07.2024","23.05.2024","2013","2022",13395,5
"497","Pupils enrolled in lower-secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs03","dataset","26.07.2024","23.05.2024","2013","2022",39936,5
"498","Pupils enrolled in upper secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs06","dataset","26.07.2024","23.05.2024","2013","2022",40176,5
"499","Youth employment rate by sex, age and NUTS 2 region","yth_empl_030","dataset","12.09.2024","24.04.2024","1999","2023",202086,5
"500","Youth unemployment rate by sex, age and NUTS 2 region","yth_empl_110","dataset","12.09.2024","24.04.2024","1999","2023",202086,5
"501","Youth long-term unemployment rate (12 months or longer) by sex, age and NUTS 2 region","yth_empl_130","dataset","12.09.2024","02.07.2024","1999","2023",33681,5
"502","Youth unemployment ratio by sex, age and NUTS 2 region","yth_empl_140","dataset","12.09.2024","24.04.2024","1999","2023",202086,5
"503","Causes of death - crude death rate by NUTS 2 region of residence","hlth_cd_acdr2","dataset","25.04.2024","25.03.2024","2011","2021",6549928,5
