"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"62","Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 region (1994 - 2007)","hrst_st_rsec","dataset","14.04.2021","10.01.2024","1999","2008",381086,6
"63","HRST by category, sex and NUTS 1 region","hrst_st_rsex","dataset","12.09.2024","24.04.2024","1999","2023",167883,6
"64","HRST by category, age and NUTS 1 region","hrst_st_rage","dataset","12.09.2024","24.04.2024","1999","2023",335587,6
"65","Employed HRST by category, NACE Rev. 2 activity and NUTS 1 region","hrst_st_rsec2","dataset","12.09.2024","24.04.2024","2008","2023",787508,6
"66","Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 region (1994 - 2007)","hrst_st_rsec","dataset","14.04.2021","10.01.2024","1999","2008",381086,6
"67","HRST by category, sex and NUTS 1 region","hrst_st_rsex","dataset","12.09.2024","24.04.2024","1999","2023",167883,5
"68","HRST by category, age and NUTS 1 region","hrst_st_rage","dataset","12.09.2024","24.04.2024","1999","2023",335587,5
"69","Employment in technology and knowledge-intensive sectors by NUTS 1 region and type of occupation (from 2008 onwards, NACE Rev. 2)","htec_emp_risco2","dataset","12.09.2024","24.04.2024","2008","2023",616276,5
"70","Employment in technology and knowledge-intensive sectors by NUTS 1 region and level of education (from 2008 onwards, NACE Rev. 2)","htec_emp_risced2","dataset","12.09.2024","24.04.2024","2008","2023",662712,5
"71","Employed HRST by category, NACE Rev. 2 activity and NUTS 1 region","hrst_st_rsec2","dataset","12.09.2024","24.04.2024","2008","2023",787508,5
"72","Employed HRST by category, NACE Rev. 2 activity and NUTS 1 region","hrst_st_rsec2","dataset","12.09.2024","24.04.2024","2008","2023",787508,5
"73","Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region","educ_uoe_enrt05","dataset","26.07.2024","23.05.2024","2013","2022",3864,6
